Sex,score,label_value,rank_abs,rank_pct,binary_score,binary_fpr,binary_fnr,binary_ppr,binary_fdr,binary_tpr,binary_tnr,binary_npv,binary_pprev,binary_precision,binary_for
male,1.0,0,114,0.114,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,115,0.115,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,116,0.116,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,117,0.117,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,118,0.118,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,119,0.119,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,120,0.12,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,121,0.121,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,122,0.122,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,123,0.123,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,124,0.124,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,125,0.125,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,126,0.126,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,127,0.127,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,128,0.128,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,129,0.129,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,130,0.13,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,131,0.131,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,132,0.132,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,133,0.133,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,134,0.134,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,135,0.135,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,136,0.136,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,137,0.137,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,138,0.138,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,139,0.139,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,140,0.14,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,141,0.141,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,142,0.142,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,143,0.143,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,144,0.144,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,145,0.145,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,146,0.146,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,147,0.147,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,148,0.148,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,149,0.149,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,150,0.15,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,151,0.151,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,152,0.152,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,153,0.153,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,154,0.154,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,155,0.155,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,156,0.156,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,157,0.157,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,158,0.158,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,159,0.159,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,160,0.16,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,161,0.161,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,162,0.162,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,163,0.163,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,164,0.164,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,165,0.165,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,166,0.166,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,167,0.167,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,168,0.168,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,169,0.169,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,170,0.17,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,171,0.171,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,172,0.172,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,173,0.173,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,174,0.174,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,175,0.175,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,176,0.176,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,177,0.177,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,178,0.178,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,179,0.179,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,180,0.18,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,181,0.181,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,182,0.182,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,183,0.183,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,184,0.184,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,185,0.185,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,186,0.186,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,187,0.187,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,188,0.188,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,189,0.189,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,190,0.19,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,191,0.191,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,192,0.192,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,193,0.193,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,194,0.194,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,195,0.195,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,196,0.196,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,197,0.197,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,198,0.198,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,199,0.199,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,200,0.2,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,201,0.201,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,202,0.202,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,203,0.203,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,204,0.204,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,205,0.205,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,206,0.206,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,207,0.207,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,208,0.208,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,209,0.209,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,210,0.21,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,211,0.211,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,212,0.212,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,213,0.213,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,214,0.214,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,215,0.215,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,216,0.216,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,217,0.217,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,218,0.218,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,219,0.219,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,220,0.22,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,221,0.221,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,222,0.222,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,223,0.223,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,224,0.224,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,225,0.225,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,226,0.226,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,227,0.227,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,228,0.228,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,229,0.229,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,230,0.23,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,231,0.231,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,232,0.232,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,233,0.233,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,234,0.234,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,235,0.235,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,236,0.236,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,237,0.237,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,238,0.238,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,239,0.239,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,240,0.24,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,241,0.241,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,242,0.242,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,243,0.243,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,244,0.244,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,245,0.245,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,246,0.246,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,247,0.247,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,248,0.248,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,249,0.249,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,250,0.25,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,251,0.251,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,252,0.252,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,253,0.253,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,254,0.254,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,255,0.255,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,256,0.256,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,257,0.257,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,258,0.258,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,259,0.259,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,260,0.26,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,261,0.261,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,262,0.262,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,263,0.263,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,264,0.264,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,265,0.265,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,266,0.266,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,267,0.267,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,268,0.268,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,269,0.269,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,270,0.27,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,271,0.271,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,272,0.272,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,273,0.273,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,274,0.274,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,275,0.275,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,276,0.276,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,277,0.277,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,278,0.278,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,279,0.279,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,280,0.28,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,281,0.281,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,282,0.282,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,283,0.283,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,284,0.284,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,1,285,0.285,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,286,0.286,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,287,0.287,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,288,0.288,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,289,0.289,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,290,0.29,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,291,0.291,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,292,0.292,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,293,0.293,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,294,0.294,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,295,0.295,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,296,0.296,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,297,0.297,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,298,0.298,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,299,0.299,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,300,0.3,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,301,0.301,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,302,0.302,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,303,0.303,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,304,0.304,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,305,0.305,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,306,0.306,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,307,0.307,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,308,0.308,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,309,0.309,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,310,0.31,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,311,0.311,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,312,0.312,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,313,0.313,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,314,0.314,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,315,0.315,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,316,0.316,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,317,0.317,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,318,0.318,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,319,0.319,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,320,0.32,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,321,0.321,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,322,0.322,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,323,0.323,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,324,0.324,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,325,0.325,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,326,0.326,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,0,327,0.327,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,328,0.328,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,329,0.329,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,330,0.33,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,331,0.331,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,332,0.332,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,333,0.333,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,334,0.334,1,0.0,,1,0.0,,0.0,,1,0.0,
female,1.0,0,335,0.335,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,0,336,0.336,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,337,0.337,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,338,0.338,1,1.0,,1,1.0,,1.0,,1,1.0,
male,1.0,1,339,0.339,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,340,0.34,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,341,0.341,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,342,0.342,1,1.0,,1,1.0,,1.0,,1,1.0,
female,1.0,1,343,0.343,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,1,344,0.344,1,0.0,,1,0.0,,0.0,,1,0.0,
male,1.0,0,345,0.345,1,1.0,,1,1.0,,1.0,,1,1.0,
